"PCC","AverageWeight","Year"
"26404237",NA,"2013"
"26404235",NA,"2013"
"26404100",NA,"2013"
"26403480",NA,"2013"
"26403460",NA,"2013"
"26403440",NA,"2013"
"26403420",7.7,"2013"
"26403100",2.4,"2013"
"26402090",NA,"2013"
"26305080",NA,"2013"
"26305020",NA,"2013"
"26302340",NA,"2013"
"26302330",0.5,"2013"
"26302200",0.09,"2013"
"26302100",0.45,"2013"
"26301300",0.66,"2013"
"26301200",NA,"2013"
"26301100",NA,"2013"
"26203000",NA,"2013"
"26201800",10.32,"2013"
"26201640",10.32,"2013"
"26201500",9.39,"2013"
"26201400",9.5,"2013"
"26201300",8,"2013"
"26201200",NA,"2013"
"26201100",NA,"2013"
"26123000",0.003,"2013"
"26122000",0.4,"2013"
"26521200",0.08,"2013"
"27512690",4.2,"2013"
"27512170",1.5,"2013"
"26521400",NA,"2013"
"28991490",110.6,"2013"
"27904070",51.9,"2013"
"26403300",2.79,"2013"
"27512830",4.3,"2013"
"26112240",17,"2013"
"28241133",NA,"2013"
"28241185",NA,"2013"
"299900Z1",NA,"2014"
"29312310",NA,"2014"
"28942270",NA,"2014"
"28942250",NA,"2014"
"26701300",NA,"2014"
"28942230",NA,"2014"
"28942130",45.75,"2014"
"299900Z1",NA,"2015"
"28931560",NA,"2014"
"28304010",15.2,"2014"
"28295000",NA,"2014"
"28294350",NA,"2014"
"28294330",NA,"2014"
"28252070",0.53,"2014"
"26404270",NA,"2014"
"26521100",0.08,"2014"
"32201400",5,"2014"
"28252050",NA,"2014"
"28252030",0.53,"2014"
"28251390",NA,"2014"
"28251335",140,"2014"
"28251333",128,"2014"
"28251270",33.72,"2014"
"28251250",26.7,"2014"
"28251240",33.72,"2014"
"28251220",26.7,"2014"
"28241190",2.05,"2014"
"28241180",3.1,"2014"
"28241150",2.9,"2014"
"28241120",2.28,"2014"
"28241127",3.64,"2014"
"28241125",5.57,"2014"
"28241123",5.89,"2014"
"28241117",3.13,"2014"
"28241115",5.7,"2014"
"28241113",3.55,"2014"
"28232200",NA,"2014"
"28232100",NA,"2014"
"28231300",2,"2014"
"28231200",0.2,"2014"
"27903154",NA,"2014"
"27903145",NA,"2014"
"27903118",14,"2014"
"27903109",NA,"2014"
"27902080",6.5,"2014"
"27902050",NA,"2014"
"27902020",NA,"2014"
"27512900",NA,"2014"
"27512890",7.1,"2014"
"27512850",3.38,"2014"
"27512700",22.9,"2014"
"27512650",4,"2014"
"27512630",17.2,"2014"
"27512530",1.01,"2014"
"27512490",3.36,"2014"
"27512450",1.54,"2014"
"27512430",3.96,"2014"
"27512370",1.5,"2014"
"27512350",1.57,"2014"
"27512330",NA,"2014"
"27512200",0.52,"2014"
"27511580",7.96,"2014"
"27511530",2.9,"2014"
"27511400",1.81,"2014"
"27511200",NA,"2014"
"27511170",NA,"2014"
"27511150",NA,"2014"
"27511135",NA,"2014"
"27511133",NA,"2014"
"27511110",69,"2014"
"27403930",NA,"2014"
"27403910",NA,"2014"
"27403300",NA,"2014"
"27403200",0.4,"2014"
"27402500",NA,"2014"
"27402400",0.6,"2014"
"27402200",0.6,"2014"
"27402100",NA,"2014"
"27401570",0.12,"2014"
"27401550",0.12,"2014"
"27401530",0.11,"2014"
"27401510",0.12,"2014"
"27401490",0.12,"2014"
"27401460",NA,"2014"
"27401300",NA,"2014"
"27401295",NA,"2014"
"27401293",NA,"2014"
"27401250",NA,"2014"
"27401100",NA,"2014"
"27115040",1.54,"2014"
"269900Z0",NA,"2014"
"26701500",NA,"2014"
"26701400",0.5,"2014"
"26701250",0.5,"2014"
"26601280",0.75,"2014"
"26601230",NA,"2014"
"26517015",0.15,"2014"
"26516670",NA,"2014"
"26516650",NA,"2014"
"26516370",NA,"2014"
"26516255",NA,"2014"
"26516210",NA,"2014"
"26515383",NA,"2014"
"26515381",NA,"2014"
"26515313",NA,"2014"
"26515283",NA,"2014"
"26515271",NA,"2014"
"26515239",NA,"2014"
"26515235",NA,"2014"
"26515175",NA,"2014"
"26515135",NA,"2014"
"26514555",NA,"2014"
"26514330",NA,"2014"
"26511239",NA,"2014"
"26511235",NA,"2014"
"26511215",NA,"2014"
"26406050",2,"2014"
"26404400",NA,"2014"
"26404370",3.8,"2014"
"26404359",3.21,"2014"
"26404355",NA,"2014"
"26404239",NA,"2014"
"26404237",NA,"2014"
"26404235",NA,"2014"
"26404100",NA,"2014"
"26403480",NA,"2014"
"26403460",NA,"2014"
"26403440",NA,"2014"
"26403420",7.7,"2014"
"26403100",2.4,"2014"
"26402090",NA,"2014"
"26305080",NA,"2014"
"26305020",NA,"2014"
"26302340",NA,"2014"
"26302330",0.5,"2014"
"26302200",0.09,"2014"
"26302100",0.45,"2014"
"26301300",0.66,"2014"
"26301200",NA,"2014"
"26301100",NA,"2014"
"26203000",NA,"2014"
"26201800",10.32,"2014"
"26201640",10.32,"2014"
"26201500",9.39,"2014"
"26201400",9.5,"2014"
"26201300",8,"2014"
"26201200",NA,"2014"
"26201100",NA,"2014"
"26123000",0.003,"2014"
"26122000",0.4,"2014"
"26521200",0.08,"2014"
"27512690",4.2,"2014"
"27512170",1.5,"2014"
"26521400",NA,"2014"
"28991490",110.6,"2014"
"27904070",51.9,"2014"
"26403300",2.79,"2014"
"27512830",4.3,"2014"
"26112240",17,"2014"
"28241133",NA,"2014"
"28241185",NA,"2014"
"30012393",NA,"2002"
"30012393",NA,"2001"
"31501100",NA,"2003"
"30021100",4.9,"2004"
"30021300",NA,"2001"
"30021400",7.7,"2001"
"30021400",7.7,"2000"
"30021400",7.7,"1999"
"30021400",7.7,"1998"
"30021400",7.7,"1997"
"30021400",7.7,"1996"
"30021300",NA,"2007"
"30021300",NA,"2006"
"30021300",NA,"2005"
"30021300",NA,"2004"
"30021200",NA,"2003"
"30021300",NA,"2002"
"30021650",1.18,"2004"
"30021300",NA,"2000"
"30021300",NA,"1999"
"30021300",NA,"1998"
"30021300",NA,"1997"
"30021300",NA,"1996"
"30021300",NA,"1993"
"30021209",NA,"1993"
"30021203",NA,"1993"
"30021200",NA,"2007"
"30021200",NA,"2006"
"30021300",NA,"2003"
"30021790",NA,"2001"
"30021770",NA,"2002"
"30021800",NA,"2001"
"29712570",0.5,"2002"
"29712570",0.5,"2001"
"29712570",0.5,"2000"
"29712570",0.5,"1999"
"29712570",0.5,"1998"
"29712570",0.6,"1997"
"29712570",0.6,"1996"
"29712570",0.5,"2006"
"29712570",0.6,"1994"
"29712570",0.5,"2007"
"29712550",1.61,"2007"
"29712550",1.61,"2006"
"29712550",1.61,"2005"
"29712550",1.61,"2004"
"29712550",1.61,"2003"
"29712550",1.61,"2002"
"29712550",1.61,"2001"
"29712550",1.61,"2000"
"29712550",1.61,"1999"
"29712833",9,"1995"
"29712570",0.6,"1995"
"29712690",4,"1997"
"30012393",NA,"2000"
"29712833",9,"1993"
"29712690",4,"2007"
"29712690",4,"2006"
"29712690",4,"2005"
"29712690",4,"2004"
"29712690",4,"2003"
"29712690",4,"2002"
"29712690",4,"2001"
"29712690",4,"2000"
"29712570",0.5,"2005"
"29712690",4,"1998"
"29712550",1.61,"1996"
"29712690",4,"1996"
"29712690",4,"1995"
"29712690",4,"1994"
"29712690",4,"1993"
"29712657",4,"1995"
"29712657",4,"1994"
"29712657",4,"1993"
"29712655",4,"1995"
"29712655",4,"1994"
"29712655",4,"1993"
"29712690",4,"1999"
"29712493",3.57,"2002"
"29712550",1.61,"1998"
"29712495",NA,"1999"
"29712495",NA,"1998"
"29712495",NA,"1997"
"29712495",NA,"1996"
"29712495",NA,"1995"
"29712495",NA,"1994"
"29712493",3.57,"2007"
"29712493",3.57,"2006"
"29712493",3.57,"2005"
"29712495",NA,"2001"
"29712493",3.57,"2003"
"29712495",NA,"2002"
"29712493",3.57,"2001"
"29712493",3.57,"2000"
"29712493",3.57,"1999"
"29712493",3.57,"1998"
"29712493",3.57,"1997"
"29712493",3.57,"1996"
"29712493",3.57,"1995"
"29712493",NA,"1994"
"29712490",NA,"1993"
"29712470",NA,"2003"
"29712493",3.57,"2004"
"29712530",NA,"1998"
"29712550",1.61,"1995"
"29712550",1.61,"1994"
"29712550",1.61,"1993"
"29712530",NA,"2007"
"29712530",NA,"2006"
"29712530",NA,"2005"
"29712530",NA,"2004"
"29712530",NA,"2003"
"29712530",NA,"2002"
"29712530",NA,"2001"
"29712495",NA,"2000"
"29712530",NA,"1999"
"29712835",6.7,"1993"
"29712530",NA,"1997"
"29712530",NA,"1996"
"29712530",NA,"1995"
"29712530",NA,"1994"
"29712530",NA,"1993"
"29712497",NA,"2007"
"29712497",NA,"2006"
"29712497",NA,"2005"
"29712497",NA,"2004"
"29712495",NA,"2003"
"29712530",NA,"2000"
"30012150",NA,"2000"
"30011330",NA,"2003"
"30012170",113,"2003"
"30012170",113,"2002"
"30012170",113,"2001"
"30012170",113,"2000"
"30021476",NA,"1995"
"30021400",7.7,"2003"
"30021500",NA,"2004"
"30021500",NA,"2003"
"30021500",NA,"2002"
"30021500",NA,"2001"
"30021500",NA,"2000"
"30021500",NA,"1999"
"30021500",NA,"1998"
"30021500",NA,"1997"
"30021500",NA,"1996"
"30021500",NA,"2006"
"30021477",NA,"1994"
"30021500",NA,"2007"
"30021476",NA,"1994"
"299900Z0",NA,"2010"
"29312310",NA,"2010"
"28993975",NA,"2010"
"28993960",51.9,"2010"
"28942270",NA,"2010"
"28942250",NA,"2010"
"26701300",NA,"2008"
"26701300",NA,"2009"
"26701300",NA,"2010"
"32303335",NA,"2007"
"28942230",NA,"2010"
"28942130",45.75,"2010"
"28931560",NA,"2010"
"28304010",15.2,"2010"
"28295000",NA,"2010"
"28294350",NA,"2010"
"28294330",NA,"2010"
"28252070",0.53,"2010"
"30021200",NA,"1999"
"30021200",NA,"1998"
"30021200",NA,"1997"
"30021200",NA,"1996"
"30021100",4.9,"2006"
"30021100",4.9,"2005"
"30021200",NA,"2004"
"30021100",4.9,"2003"
"30021200",NA,"2005"
"30021100",4.9,"2001"
"30021100",4.9,"2000"
"30021100",4.9,"1999"
"30021100",4.9,"1998"
"30021100",4.9,"1997"
"30021100",4.9,"1996"
"30021100",4.9,"1993"
"30021800",NA,"2000"
"30021800",NA,"1998"
"30021800",NA,"1997"
"30021800",NA,"1996"
"30021790",NA,"2007"
"30021790",NA,"2006"
"30021790",NA,"2005"
"30021790",NA,"2004"
"30021800",NA,"2003"
"30021790",NA,"2002"
"30021800",NA,"2004"
"30021790",NA,"2000"
"30021790",NA,"1999"
"30021790",NA,"1998"
"30021790",NA,"1997"
"30021790",NA,"1996"
"30021770",NA,"2007"
"30021770",NA,"2006"
"30021770",NA,"2005"
"30021770",NA,"2004"
"30021650",1.18,"2002"
"30021790",NA,"2003"
"31105040",1.54,"2003"
"31621157",NA,"1996"
"31501100",NA,"2001"
"31501100",NA,"2000"
"31501100",NA,"1999"
"31501100",NA,"1998"
"31501100",NA,"1997"
"31501100",NA,"1996"
"31501100",NA,"1995"
"31105040",1.54,"2007"
"31105040",1.54,"2006"
"30021800",NA,"2002"
"31105040",1.54,"2004"
"30021770",NA,"2001"
"31105040",1.54,"2002"
"31105040",1.54,"2001"
"31105040",1.54,"2000"
"31105040",1.54,"1999"
"31105040",1.54,"1998"
"31105040",1.54,"1997"
"31105040",1.54,"1996"
"30021800",NA,"2007"
"30021800",NA,"2006"
"30021800",NA,"2005"
"31105040",1.54,"2005"
"30021670",NA,"2005"
"30021770",NA,"2003"
"30021730",NA,"1998"
"30021730",NA,"1997"
"30021730",NA,"1996"
"30021677",NA,"2001"
"30021677",NA,"2000"
"30021677",NA,"1999"
"30021677",NA,"1998"
"30021677",NA,"1997"
"30021677",NA,"1996"
"30021730",NA,"2000"
"30021670",NA,"2006"
"30021730",NA,"2001"
"30021670",NA,"2004"
"30021670",NA,"2003"
"30021670",NA,"2002"
"30021670",NA,"2001"
"36504355",NA,"2007"
"30021670",NA,"1999"
"30021670",NA,"1997"
"30021670",NA,"1996"
"30021650",1.18,"2006"
"30021650",1.18,"2005"
"30021757",NA,"2000"
"30021770",NA,"2000"
"30021770",NA,"1999"
"30021770",NA,"1998"
"30021770",NA,"1997"
"30021770",NA,"1996"
"30021757",NA,"2007"
"30021757",NA,"2006"
"30021757",NA,"2005"
"30021757",NA,"2004"
"30021757",NA,"2003"
"30021730",NA,"1999"
"30021757",NA,"2001"
"30012393",NA,"1998"
"30021757",NA,"1999"
"30021757",NA,"1998"
"30021757",NA,"1997"
"30021757",NA,"1996"
"30021730",NA,"2007"
"30021730",NA,"2006"
"30021730",NA,"2005"
"30021730",NA,"2004"
"30021730",NA,"2003"
"30021730",NA,"2002"
"30021757",NA,"2002"
"29712570",0.6,"1993"
"29712550",1.61,"1997"
"29712570",0.5,"2004"
"29712570",0.5,"2003"
"30021450",NA,"1995"
"30021450",NA,"1994"
"30021407",NA,"1993"
"30021406",NA,"1993"
"30021405",NA,"1993"
"30021400",7.7,"2007"
"30021400",7.7,"2006"
"30021400",7.7,"2005"
"30021650",1.18,"2003"
"30021477",NA,"1995"
"30021570",NA,"1994"
"30012393",NA,"1999"
"30021650",1.18,"2001"
"30021650",1.18,"2000"
"30021650",1.18,"1999"
"30021650",1.18,"1998"
"30021650",1.18,"1997"
"30021650",1.18,"1996"
"30021600",NA,"1993"
"30021590",NA,"1995"
"30021590",NA,"1994"
"30021500",NA,"2005"
"30021570",NA,"1995"
"30021400",7.7,"2002"
"30021570",NA,"1993"
"30021557",NA,"1995"
"30021557",NA,"1994"
"30021557",NA,"1993"
"30021555",NA,"1995"
"30021555",NA,"1994"
"30021555",NA,"1993"
"30021530",NA,"1995"
"30021530",NA,"1994"
"30021530",NA,"1993"
"30021590",NA,"1993"
"30021100",4.9,"2002"
"30021400",7.7,"2004"
"30021200",NA,"2002"
"30021200",NA,"2001"
"30021200",NA,"2000"
"30012170",113,"1999"
"30012170",113,"1998"
"30012170",113,"1997"
"30012170",113,"1996"
"30012170",113,"1995"
"30012170",113,"2005"
"30012170",113,"1993"
"30012170",113,"2006"
"30012150",NA,"1999"
"30012150",NA,"1998"
"30012150",NA,"1997"
"30012150",NA,"1996"
"30012150",NA,"1995"
"30012150",NA,"1994"
"30012150",NA,"1993"
"30011370",6,"1995"
"30011370",6,"1994"
"29712833",9,"1994"
"30012170",113,"1994"
"30012185",22,"2005"
"30012393",NA,"1997"
"30012393",NA,"1996"
"30012200",NA,"1995"
"30012190",22,"2000"
"30012190",22,"1999"
"30012190",22,"1998"
"30012190",22,"1997"
"30012190",22,"1996"
"30012190",22,"1995"
"30012190",22,"1994"
"30012170",113,"2004"
"30012185",22,"2006"
"30011330",NA,"2002"
"30012185",22,"2004"
"30012185",22,"2003"
"30012185",22,"2002"
"30012185",22,"2001"
"30012183",51.6,"2006"
"30012183",51.6,"2005"
"30012183",51.6,"2004"
"30012183",51.6,"2003"
"30012183",51.6,"2002"
"30012183",51.6,"2001"
"30012190",22,"1993"
"29712835",6.7,"2004"
"30011370",6,"1993"
"30011100",NA,"1997"
"30011100",NA,"1996"
"30011100",NA,"1995"
"30011100",NA,"1994"
"30011100",NA,"1993"
"299900Z0",NA,"2009"
"299900Z0",NA,"2008"
"29712893",NA,"1993"
"29712835",6.7,"2007"
"30011100",NA,"1999"
"29712835",6.7,"2005"
"30011100",NA,"2000"
"29712835",6.7,"2003"
"29712835",6.7,"2002"
"29712835",6.7,"2001"
"29712835",6.7,"2000"
"29712835",6.7,"1999"
"29712835",6.7,"1998"
"29712835",6.7,"1997"
"29712835",6.7,"1996"
"29712835",6.7,"1995"
"29712835",6.7,"1994"
"29712835",6.7,"2006"
"30011200",6.38,"2002"
"30011330",NA,"2001"
"30011330",NA,"2000"
"30011330",NA,"1999"
"30011330",NA,"1998"
"30011330",NA,"1997"
"30011330",NA,"1996"
"30011330",NA,"1995"
"30011330",NA,"1994"
"30011330",NA,"1993"
"30011320",0.2,"1995"
"30011100",NA,"1998"
"30011320",0.2,"1993"
"31501100",NA,"2004"
"30011200",6.38,"2001"
"30011200",6.38,"2000"
"30011200",6.38,"1999"
"30011200",6.38,"1998"
"30011200",6.38,"1997"
"30011200",6.38,"1996"
"30011200",6.38,"1995"
"30011100",NA,"2003"
"30011100",NA,"2002"
"30011100",NA,"2001"
"30011320",0.2,"1994"
"31502559",NA,"2001"
"31502555",NA,"1998"
"31502565",NA,"1996"
"31502565",NA,"1995"
"31502563",NA,"2002"
"31502563",NA,"2001"
"31502563",NA,"2000"
"31502563",NA,"1999"
"31502563",NA,"1998"
"31502563",NA,"1997"
"31502563",NA,"1996"
"31502565",NA,"1998"
"31502559",NA,"2002"
"31502565",NA,"1999"
"31502559",NA,"2000"
"31502559",NA,"1999"
"31502559",NA,"1998"
"31502559",NA,"1997"
"31502559",NA,"1996"
"31502559",NA,"1995"
"31502555",NA,"2002"
"31502555",NA,"2001"
"31502555",NA,"2000"
"31502571",NA,"1999"
"31502563",NA,"1995"
"31502567",NA,"2002"
"31502531",NA,"1996"
"31502571",NA,"1997"
"31502571",NA,"1996"
"31502571",NA,"1995"
"31502569",NA,"2002"
"31502569",NA,"2001"
"31502569",NA,"2000"
"31502569",NA,"1999"
"31502569",NA,"1998"
"31502569",NA,"1997"
"31502565",NA,"1997"
"31502569",NA,"1995"
"31502555",NA,"1997"
"31502567",NA,"2001"
"31502567",NA,"2000"
"31502567",NA,"1999"
"31502567",NA,"1998"
"31502567",NA,"1997"
"31502567",NA,"1996"
"31502567",NA,"1995"
"31502565",NA,"2002"
"31502565",NA,"2001"
"31502565",NA,"2000"
"31502569",NA,"1996"
"31502532",NA,"1999"
"31502555",NA,"1999"
"31502533",NA,"2002"
"31502533",NA,"2001"
"31502533",NA,"2000"
"31502533",NA,"1999"
"31502533",NA,"1998"
"31502533",NA,"1997"
"31502533",NA,"1996"
"31502533",NA,"1995"
"31502532",NA,"2002"
"31502547",NA,"1996"
"31502532",NA,"2000"
"31502547",NA,"1997"
"31502532",NA,"1998"
"31502532",NA,"1997"
"31502532",NA,"1996"
"31502532",NA,"1995"
"31502531",NA,"2002"
"31502531",NA,"2001"
"31502531",NA,"2000"
"31502531",NA,"1999"
"31502531",NA,"1998"
"31501100",NA,"2002"
"31502532",NA,"2001"
"31502548",NA,"2000"
"31502555",NA,"1996"
"31502555",NA,"1995"
"31502553",NA,"2002"
"31502553",NA,"2001"
"31502553",NA,"2000"
"31502553",NA,"1999"
"31502553",NA,"1998"
"31502553",NA,"1997"
"31502553",NA,"1996"
"31502553",NA,"1995"
"31502547",NA,"1995"
"31502548",NA,"2001"
"31502571",NA,"2000"
"31502548",NA,"1999"
"31502548",NA,"1998"
"31502548",NA,"1997"
"31502548",NA,"1996"
"31502548",NA,"1995"
"31502547",NA,"2002"
"31502547",NA,"2001"
"31502547",NA,"2000"
"31502547",NA,"1999"
"31502547",NA,"1998"
"31502548",NA,"2002"
"31503433",NA,"1996"
"31503430",NA,"1998"
"31503447",NA,"1997"
"31503447",NA,"1996"
"31503447",NA,"1995"
"31503446",NA,"1999"
"31503446",NA,"1998"
"31503446",NA,"1997"
"31503446",NA,"1996"
"31503446",NA,"1995"
"31503433",NA,"1999"
"31503447",NA,"1999"
"31503433",NA,"1997"
"31612310",NA,"1998"
"31503433",NA,"1995"
"31503430",NA,"2007"
"31503430",NA,"2006"
"31503430",NA,"2005"
"31503430",NA,"2004"
"31503430",NA,"2003"
"31503430",NA,"2002"
"31503430",NA,"2001"
"31503430",NA,"2000"
"31502571",NA,"1998"
"31503433",NA,"1998"
"31621153",NA,"1998"
"31621157",NA,"1995"
"31621157",NA,"1994"
"31621157",NA,"1993"
"31621153",NA,"2007"
"31621153",NA,"2006"
"31621153",NA,"2005"
"31621153",NA,"2004"
"31621153",NA,"2003"
"31621153",NA,"2002"
"31621153",NA,"2001"
"31503447",NA,"1998"
"31621153",NA,"1999"
"31503430",NA,"1997"
"31621150",NA,"1993"
"31612310",NA,"2007"
"31612310",NA,"2006"
"31612310",NA,"2005"
"31612310",NA,"2004"
"31612310",NA,"2003"
"31612310",NA,"2002"
"31612310",NA,"2001"
"31612310",NA,"2000"
"31612310",NA,"1999"
"31621153",NA,"2000"
"31503200",0.4,"1995"
"31503430",NA,"1999"
"31503200",0.4,"2006"
"31503200",0.4,"2005"
"31503200",0.4,"2004"
"31503200",0.4,"2003"
"31503200",0.4,"2002"
"31503200",0.4,"2001"
"31503200",0.4,"2000"
"31503200",0.4,"1999"
"31503200",0.4,"1998"
"31503300",NA,"1995"
"31503200",0.4,"1996"
"31503300",NA,"1996"
"31502579",NA,"2002"
"31502579",NA,"2001"
"31502579",NA,"2000"
"31502579",NA,"1999"
"31502579",NA,"1998"
"31502579",NA,"1997"
"31502579",NA,"1996"
"31502579",NA,"1995"
"31502571",NA,"2002"
"31502571",NA,"2001"
"31503200",0.4,"1997"
"31503305",NA,"1996"
"31503430",NA,"1996"
"31503430",NA,"1995"
"31503305",NA,"2007"
"31503305",NA,"2006"
"31503305",NA,"2005"
"31503305",NA,"2004"
"31503305",NA,"2003"
"31503305",NA,"2002"
"31503305",NA,"2001"
"31503305",NA,"1999"
"31503200",0.4,"2007"
"31503305",NA,"1997"
"31502531",NA,"1995"
"31503305",NA,"1995"
"31503303",NA,"1999"
"31503303",NA,"1998"
"31503303",NA,"1997"
"31503303",NA,"1996"
"31503303",NA,"1995"
"31503300",NA,"2000"
"31503300",NA,"1999"
"31503300",NA,"1998"
"31503300",NA,"1997"
"31503305",NA,"1998"
"31501510",NA,"2004"
"31501493",NA,"2007"
"31501530",0.11,"2002"
"31501530",0.11,"2001"
"31501530",0.11,"2000"
"31501530",0.11,"1999"
"31501530",0.11,"1998"
"31501530",0.11,"1997"
"31501530",0.11,"1996"
"31501530",0.11,"1995"
"31501510",NA,"2007"
"31501530",0.11,"2004"
"31501510",NA,"2005"
"31501530",0.11,"2005"
"31501510",NA,"2003"
"31501510",NA,"2002"
"31501510",NA,"2001"
"31501510",NA,"2000"
"31501510",NA,"1999"
"31501510",NA,"1998"
"31501510",NA,"1997"
"31501510",NA,"1996"
"31501510",NA,"1995"
"31501556",NA,"2004"
"31501510",NA,"2006"
"31501553",0.12,"2003"
"31502531",NA,"1997"
"31501556",NA,"2002"
"31501556",NA,"2001"
"31501556",NA,"2000"
"31501556",NA,"1999"
"31501556",NA,"1998"
"31501556",NA,"1997"
"31501556",NA,"1996"
"31501553",0.12,"2007"
"31501553",0.12,"2006"
"31501530",0.11,"2003"
"31501553",0.12,"2004"
"31501493",NA,"2006"
"31501553",0.12,"2002"
"31501553",0.12,"2001"
"31501553",0.12,"2000"
"31501553",0.12,"1999"
"31501553",0.12,"1998"
"31501553",0.12,"1997"
"31501553",0.12,"1996"
"31501553",0.12,"1995"
"31501530",0.11,"2007"
"31501530",0.11,"2006"
"31501553",0.12,"2005"
"31501250",NA,"2003"
"31501495",NA,"1995"
"31501293",NA,"2003"
"31501293",NA,"2002"
"31501293",NA,"2001"
"31501293",NA,"2000"
"31501293",NA,"1999"
"31501293",NA,"1998"
"31501293",NA,"1995"
"31501250",NA,"2007"
"31501250",NA,"2006"
"31501293",NA,"2005"
"31501250",NA,"2004"
"31501293",NA,"2006"
"31501250",NA,"2002"
"31501250",NA,"2001"
"31501250",NA,"2000"
"31501250",NA,"1999"
"31501250",NA,"1998"
"31501250",NA,"1995"
"31501230",NA,"1995"
"31501100",NA,"2007"
"31501100",NA,"2006"
"31501100",NA,"2005"
"31501250",NA,"2005"
"31501295",NA,"2006"
"31501493",NA,"2005"
"31501493",NA,"2004"
"31501493",NA,"2003"
"31501493",NA,"2002"
"31501493",NA,"2001"
"31501493",NA,"2000"
"31501493",NA,"1999"
"31501493",NA,"1998"
"31501493",NA,"1997"
"31501493",NA,"1996"
"31501293",NA,"2004"
"31501295",NA,"2007"
"31501556",NA,"2005"
"31501295",NA,"2005"
"31501295",NA,"2004"
"31501295",NA,"2003"
"31501295",NA,"2002"
"31501295",NA,"2001"
"31501295",NA,"2000"
"31501295",NA,"1999"
"31501295",NA,"1998"
"31501295",NA,"1995"
"31501293",NA,"2007"
"31501493",NA,"1995"
"31502205",NA,"1999"
"31502203",NA,"1996"
"31502209",NA,"2002"
"31502209",NA,"2001"
"31502209",NA,"2000"
"31502209",NA,"1999"
"31502209",NA,"1998"
"31502209",NA,"1997"
"31502209",NA,"1996"
"31502209",NA,"1995"
"31502205",NA,"2002"
"31502400",0.6,"1996"
"31502205",NA,"2000"
"31502400",0.6,"1997"
"31502205",NA,"1998"
"31502205",NA,"1997"
"31502205",NA,"1996"
"31502205",NA,"1995"
"31502203",NA,"2002"
"31502203",NA,"2001"
"31502203",NA,"2000"
"31502203",NA,"1999"
"31502203",NA,"1998"
"31501556",NA,"2003"
"31502205",NA,"2001"
"31502530",NA,"1995"
"31502530",NA,"2007"
"31502530",NA,"2006"
"31502530",NA,"2005"
"31502530",NA,"2004"
"31502530",NA,"2003"
"31502530",NA,"2002"
